,Measure,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Mean_Estimate,Std_Dev
0,NumOfWords,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,0.0
1,Precision,0.282608695652,0.380281690141,0.371428571429,0.397058823529,0.364864864865,0.313953488372,0.423728813559,0.417910447761,0.364864864865,0.317647058824,0.3634347319,0.0461436453732
2,Recall,0.928571428571,0.964285714286,0.928571428571,0.964285714286,0.964285714286,0.964285714286,0.892857142857,1.0,0.964285714286,0.964285714286,0.953571428571,0.029402592941
