,Measure,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Mean_Estimate,Std_Dev
0,NumOfWords,38849.0,38849.0,38849.0,38849.0,38849.0,38849.0,38849.0,38849.0,38849.0,38849.0,38849.0,0.0
1,Precision,0.0112879348631,0.0127245508982,0.0100405143562,0.00946480812253,0.0100712736288,0.0103510351035,0.0114594938724,0.0157303370787,0.00954478707783,0.0107749077491,0.011144964275,0.0018904286831
2,Recall,0.00157018198667,0.00175036680481,0.00146721923344,0.00141573785683,0.00167314473989,0.00177610749311,0.00185332955803,0.00234240263585,0.00167314473989,0.00187907024634,0.00174007052949,0.000261154897231
