,Measure,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Mean_Estimate,Std_Dev
0,NumOfWords,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,0.0
1,Precision,0.269230769231,0.25,0.245283018868,0.307692307692,0.245901639344,0.309523809524,0.333333333333,0.371428571429,0.342105263158,0.269230769231,0.294372948181,0.0448866650711
2,Recall,0.153846153846,0.142857142857,0.142857142857,0.131868131868,0.164835164835,0.142857142857,0.164835164835,0.142857142857,0.142857142857,0.153846153846,0.148351648352,0.0106793990748
