,Measure,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Mean_Estimate,Std_Dev
0,NumOfWords,25992.0,25992.0,25992.0,25992.0,25992.0,25992.0,25992.0,25992.0,25992.0,25992.0,25992.0,0.0
1,Precision,0.294117647059,0.233766233766,0.202380952381,0.287878787879,0.205128205128,0.296875,0.204301075269,0.193548387097,0.279411764706,0.2,0.239740805328,0.0443605671821
2,Recall,0.909090909091,0.818181818182,0.772727272727,0.863636363636,0.727272727273,0.863636363636,0.863636363636,0.818181818182,0.863636363636,0.818181818182,0.831818181818,0.0527046276695
