,Measure,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Mean_Estimate,Std_Dev
0,NumOfWords,33685.0,33685.0,33685.0,33685.0,33685.0,33685.0,33685.0,33685.0,33685.0,33685.0,33685.0,0.0
1,Precision,0.0130447247706,0.00850619310551,0.0133220910624,0.0125442739079,0.0143994579028,0.0105154028436,0.00947486751245,0.0128150964653,0.011939429237,0.0101275812179,0.0116689118026,0.00190781508438
2,Recall,0.00270149918361,0.00169214784028,0.00234525753303,0.00252337835832,0.00252337835832,0.0021077630993,0.00175152144872,0.00270149918361,0.00243431794567,0.0022858839246,0.00230666468755,0.000357353171698
